42447524,38315110,27150300,29578832,24021771,58334262,15817071,74751672,0,1.71256E+12
42398791,38259796,27143386,29599717,24034932,58318526,15762330,74711856,0,1.71256E+12
42325310,38175396,27104142,29625037,24018910,58275563,15689470,74638518,0,1.71256E+12
42268948,38118891,27063086,29660276,23998692,58235652,15632440,74584159,0,1.71256E+12
42234664,38084082,27027085,29688647,23973992,58203179,15602542,74549540,0,1.71256E+12
42245202,38100580,27011874,29692224,23953249,58195979,15618946,74554356,0,1.71256E+12
42289166,38150839,27023127,29676965,23947766,58214480,15677930,74591836,0,1.71256E+12
42342953,38207535,27045777,29635862,23947766,58243710,15742494,74641713,0,1.71256E+12
42411046,38280300,27097037,29608253,23976471,58293158,15801956,74707660,0,1.71256E+12
42433886,38302330,27123168,29582647,23994257,58315713,15819456,74732312,0,1.71256E+12
42421012,38283543,27133849,29579356,24010661,58319861,15799715,74726065,0,1.71256E+12
42377190,38230662,27122405,29594615,24015858,58299453,15746547,74688395,0,1.71256E+12
42316012,38162283,27095654,29632762,24010994,58264024,15681268,74636277,0,1.71256E+12
42254834,38100867,27055457,29670766,23990109,58221490,15618373,74578103,0,1.71256E+12
42227416,38077788,27022269,29686883,23961308,58187920,15589763,74543389,0,1.71256E+12
42247967,38104824,27010348,29677537,23939993,58182532,15617658,74552163,0,1.71256E+12
42304187,38167385,27025035,29659036,23938992,58210570,15685369,74597892,0,1.71256E+12
42369895,38236336,27062371,29635719,23957446,58253628,15756990,74658450,0,1.71256E+12
42424874,38293556,27102044,29594424,23978856,58292205,15810539,74714621,0,1.71256E+12
42449288,38310866,27131131,29565385,24001076,58317239,15830232,74745377,0,1.71256E+12
42439275,38293700,27146867,29569677,24023201,58326060,15809967,74740752,0,1.71256E+12
42390017,38229851,27136138,29596284,24032023,58304126,15748598,74703034,0,1.71256E+12
42320065,38153176,27098277,29628232,24018242,58263976,15674020,74634608,0,1.71256E+12
42258553,38090662,27049783,29657319,23991301,58215529,15607501,74568900,0,1.71256E+12
42252688,38085894,27030852,29678157,23974183,58197123,15601064,74555501,0,1.71256E+12
42289309,38128571,27034762,29673293,23964360,58207328,15644885,74583777,0,1.71256E+12
42343812,38189844,27049926,29642728,23961165,58232981,15708209,74630173,0,1.71256E+12
42399840,38252119,27082398,29606202,23974183,58272654,15775777,74687299,0,1.71256E+12
42452483,38312344,27126792,29579547,24003651,58316666,15831663,74742135,0,1.71256E+12
42467360,38326887,27156022,29567722,24030116,58342606,15845252,74761542,0,1.71256E+12
42429023,38281826,27156403,29579929,24046233,58335597,15801860,74735555,0,1.71256E+12
42365269,38212685,27125981,29602388,24038985,58302600,15733720,74681004,0,1.71256E+12
42299657,38150172,27085975,29635385,24021580,58261115,15667726,74623402,0,1.71256E+12
42252593,38103966,27053454,29676297,24003603,58227879,15620471,74576100,0,1.71256E+12
42231517,38085942,27019408,29688552,23973277,58199078,15608217,74548253,0,1.71256E+12
42255549,38127903,27011826,29675534,23953488,58201081,15649272,74568232,0,1.71256E+12
42310719,38192181,27029565,29638246,23945525,58227402,15717985,74619683,0,1.71256E+12
42384057,38265900,27072242,29606918,23968317,58279092,15797807,74690923,0,1.71256E+12
42428975,38311629,27112630,29587272,23997691,58321816,15845109,74741563,0,1.71256E+12
42432694,38315729,27135995,29577783,24022295,58338553,15844299,74754103,0,1.71256E+12
